Date,Barclays,BNP Paribas,Deutsche Bank
2023-03-19 23:00:00+00:00,,41.82862854003906,8.505110740661621
2023-03-20 00:00:00+00:00,136.22349548339844,,
2023-03-20 23:00:00+00:00,,43.56352996826172,9.019795417785645
2023-03-21 00:00:00+00:00,142.9967041015625,,
2023-03-21 23:00:00+00:00,,43.348655700683594,8.831138610839844
2023-03-22 00:00:00+00:00,142.51719665527344,,
2023-03-22 23:00:00+00:00,,42.4016227722168,8.549986839294434
2023-03-23 00:00:00+00:00,139.6400604248047,,
2023-03-23 23:00:00+00:00,,40.16535186767578,7.821002006530762
2023-03-24 00:00:00+00:00,133.7659454345703,,
2023-03-26 22:00:00+00:00,,41.215843200683594,8.301802635192871
2023-03-26 23:00:00+00:00,136.8628387451172,,
2023-03-27 22:00:00+00:00,,41.359092712402344,8.170841217041016
2023-03-27 23:00:00+00:00,137.04266357421875,,
2023-03-28 22:00:00+00:00,,42.473243713378906,8.373233795166016
2023-03-28 23:00:00+00:00,141.87782287597656,,
2023-03-29 22:00:00+00:00,,43.396400451660156,8.506942749023438
2023-03-29 23:00:00+00:00,144.67503356933594,,
2023-03-30 22:00:00+00:00,,43.937564849853516,8.568302154541016
2023-03-30 23:00:00+00:00,145.654052734375,,
2023-04-02 22:00:00+00:00,,44.4071044921875,8.668126106262207
2023-04-02 23:00:00+00:00,148.111572265625,,
2023-04-03 22:00:00+00:00,,44.83685302734375,8.542658805847168
2023-04-03 23:00:00+00:00,146.3533477783203,,
2023-04-04 22:00:00+00:00,,44.43097686767578,8.517017364501953
2023-04-04 23:00:00+00:00,147.57211303710938,,
2023-04-05 22:00:00+00:00,,45.54513931274414,8.659883499145508
2023-04-05 23:00:00+00:00,151.4682159423828,,
2023-04-10 22:00:00+00:00,,45.29842758178711,8.759705543518066
2023-04-10 23:00:00+00:00,152.3872833251953,,
2023-04-11 22:00:00+00:00,,45.41780090332031,8.788095474243164
2023-04-11 23:00:00+00:00,152.9067840576172,,
2023-04-12 22:00:00+00:00,,45.791839599609375,8.717578887939453
2023-04-12 23:00:00+00:00,152.78689575195312,,
2023-04-13 22:00:00+00:00,,47.264122009277344,9.115955352783203
2023-04-13 23:00:00+00:00,157.72195434570312,,
2023-04-16 22:00:00+00:00,,46.30912780761719,8.91356086730957
2023-04-16 23:00:00+00:00,154.12554931640625,,
2023-04-17 22:00:00+00:00,,47.2800407409668,9.079322814941406
2023-04-17 23:00:00+00:00,154.80487060546875,,
2023-04-18 22:00:00+00:00,,47.431243896484375,9.16357707977295
2023-04-18 23:00:00+00:00,155.2444305419922,,
2023-04-19 22:00:00+00:00,,46.834373474121094,9.078407287597656
2023-04-19 23:00:00+00:00,154.30538940429688,,
2023-04-20 22:00:00+00:00,,46.683170318603516,9.061923027038574
2023-04-20 23:00:00+00:00,153.0866241455078,,
2023-04-23 22:00:00+00:00,,47.06516647338867,9.063754081726074
2023-04-23 23:00:00+00:00,154.04562377929688,,
2023-04-24 22:00:00+00:00,,45.943050384521484,8.716662406921387
2023-04-24 23:00:00+00:00,151.30838012695312,,
2023-04-25 22:00:00+00:00,,45.84754943847656,8.7532958984375
2023-04-25 23:00:00+00:00,153.70596313476562,,
2023-04-26 22:00:00+00:00,,46.74683380126953,8.969426155090332
2023-04-26 23:00:00+00:00,161.87777709960938,,
2023-04-27 22:00:00+00:00,,46.62746047973633,9.105880737304688
2023-04-27 23:00:00+00:00,159.71995544433594,,
2023-05-01 22:00:00+00:00,,45.330265045166016,8.821981430053711
2023-05-01 23:00:00+00:00,154.78489685058594,,
2023-05-02 22:00:00+00:00,,44.797061920166016,8.759705543518066
2023-05-02 23:00:00+00:00,153.10655212402344,,
2023-05-03 22:00:00+00:00,,44.518516540527344,8.46847915649414
2023-05-03 23:00:00+00:00,148.09158325195312,,
2023-05-04 22:00:00+00:00,,46.07038116455078,8.851286888122559
2023-05-04 23:00:00+00:00,153.0866241455078,,
2023-05-07 22:00:00+00:00,,46.38871383666992,8.859528541564941
2023-05-08 22:00:00+00:00,,46.49216842651367,8.856781959533691
2023-05-08 23:00:00+00:00,153.42626953125,,
2023-05-09 22:00:00+00:00,,46.09425354003906,8.897993087768555
2023-05-09 23:00:00+00:00,153.06661987304688,,
2023-05-10 22:00:00+00:00,,45.64063262939453,8.780769348144531
2023-05-10 23:00:00+00:00,153.32635498046875,,
2023-05-11 22:00:00+00:00,,46.54787826538086,8.806412696838379
2023-05-11 23:00:00+00:00,153.74594116210938,,
2023-05-14 22:00:00+00:00,,46.66725158691406,8.903489112854004
2023-05-14 23:00:00+00:00,154.86480712890625,,
2023-05-15 22:00:00+00:00,,46.500125885009766,8.79817008972168
2023-05-15 23:00:00+00:00,154.24542236328125,,
2023-05-16 22:00:00+00:00,,46.65929412841797,8.87509822845459
2023-05-16 23:00:00+00:00,155.8038787841797,,
2023-05-17 22:00:00+00:00,,47.463077545166016,9.226404190063477
2023-05-17 23:00:00+00:00,157.90176391601562,,
2023-05-18 22:00:00+00:00,,47.63020324707031,9.245309829711914
2023-05-18 23:00:00+00:00,159.26040649414062,,
2023-05-21 22:00:00+00:00,,48.7879638671875,9.325662612915039
2023-05-21 23:00:00+00:00,159.9197540283203,,
2023-05-22 22:00:00+00:00,,48.59217071533203,9.41925048828125
2023-05-22 23:00:00+00:00,163.27639770507812,,
2023-05-23 22:00:00+00:00,,47.706817626953125,9.203715324401855
2023-05-23 23:00:00+00:00,158.50115966796875,,
2023-05-24 22:00:00+00:00,,47.82599639892578,9.170629501342773
2023-05-24 23:00:00+00:00,156.82284545898438,,
2023-05-25 22:00:00+00:00,,47.93667221069336,9.20938777923584
2023-05-25 23:00:00+00:00,157.1625213623047,,
2023-05-28 22:00:00+00:00,,47.757896423339844,9.160229682922363
2023-05-29 22:00:00+00:00,,47.06834411621094,9.118636131286621
2023-05-29 23:00:00+00:00,155.64402770996094,,
2023-05-30 22:00:00+00:00,,45.97867965698242,8.957930564880371
2023-05-30 23:00:00+00:00,151.18850708007812,,
2023-05-31 22:00:00+00:00,,46.370277404785156,9.054353713989258
2023-05-31 23:00:00+00:00,152.4672088623047,,
2023-06-01 22:00:00+00:00,,48.081390380859375,9.32282829284668
2023-06-01 23:00:00+00:00,156.6030731201172,,
2023-06-04 22:00:00+00:00,,47.60466003417969,9.165903091430664
2023-06-04 23:00:00+00:00,155.62403869628906,,
2023-06-05 22:00:00+00:00,,48.0728759765625,9.249092102050781
2023-06-05 23:00:00+00:00,158.04164123535156,,
2023-06-06 22:00:00+00:00,,48.31975173950195,9.275561332702637
2023-06-06 23:00:00+00:00,158.0815887451172,,
2023-06-07 22:00:00+00:00,,48.53257369995117,9.323772430419922
